# w - peso do item
set a:=
1
2
3
4
5
6
7
8
9
10
11
12;

set v:= 1   2;



# C - capacidade da mochila

param:vagas:=	
1	5
2	8;





param: referencia_aluno:=		
1	1	
2	2	
3	2	
4	2	
5	2	
6	2	
7	2	
8	2	
9	2	
10	2	
11	2	
12	2;



param: referencia_vaga:=		
1	1	
2	2;






param: peso:=		
1	1	
2	1	
3	1	
4	1	
5	1	
6	1	
7	1	
8	1	
9	1	
10	1	
11	1	
12	1;


param pontos:=
1	55
2	69
3	87
4	55
5	69
6	69
7	9
8	37
9	55
10	69
11	69
12	55;
